subject,sessions,alphas,std_crest_dpfstar
CC00777XX19,239102,150,0.1941402571522063
CC00777XX19,239102,200,0.18262757604032806
CC00777XX19,239102,250,0.17355298956937382
CC00777XX19,239102,300,0.16645486239133797
CC00777XX19,239102,400,0.15530801370755257
CC00777XX19,239102,500,0.14721118138483733
CC00777XX19,239102,600,0.14082288778088636
CC00777XX19,239102,700,0.13525276196477987
CC00777XX19,239102,800,0.13056390880918986
CC00777XX19,239102,900,0.12677912372798614
CC00777XX19,239102,1000,0.12364465255599508
CC00777XX19,239102,2000,0.10857559558481614
CC00839XX23,23710,0,0.1971739551902697
CC00839XX23,23710,1,0.1963228480800385
CC00839XX23,23710,5,0.19326085276827
CC00839XX23,23710,10,0.19036439879292172
CC00839XX23,23710,50,0.1764936365847494
CC00839XX23,23710,100,0.16474746612080812
CC00839XX23,23710,150,0.1566465930319939
CC00839XX23,23710,200,0.15079523379348028
CC00839XX23,23710,250,0.1458927095662665
CC00839XX23,23710,300,0.14170281536269902
CC00839XX23,23710,400,0.1340953652073056
CC00839XX23,23710,500,0.12772012139144664
CC00839XX23,23710,600,0.12293860968068171
CC00839XX23,23710,700,0.11869819143519947
CC00839XX23,23710,800,0.11491380433729959
CC00839XX23,23710,900,0.11170770643113148
CC00839XX23,23710,1000,0.10892926438267997
CC00839XX23,23710,2000,0.09276288145264694
KKI2009_113,MR1,0,0.25871750602455895
KKI2009_113,MR1,1,0.25777588701224324
KKI2009_113,MR1,5,0.2543526601022674
KKI2009_113,MR1,10,0.2508148140847165
KKI2009_113,MR1,50,0.22727738028794864
KKI2009_113,MR1,100,0.20358086833467953
KKI2009_113,MR1,150,0.18676175846788132
KKI2009_113,MR1,200,0.1738564828397409
KKI2009_113,MR1,250,0.16417673253875517
KKI2009_113,MR1,300,0.15664716543902787
KKI2009_113,MR1,400,0.14468277077229244
KKI2009_113,MR1,500,0.13597907596193676
KKI2009_113,MR1,600,0.12952340524422296
KKI2009_113,MR1,700,0.12448321676024314
KKI2009_113,MR1,800,0.12027530115143702
KKI2009_113,MR1,900,0.11711531168271345
KKI2009_113,MR1,1000,0.11456675000322605
KKI2009_113,MR1,2000,0.10417541083300234
KKI2009_142,MR1,0,0.2604456725587804
KKI2009_142,MR1,1,0.25903093042721725
KKI2009_142,MR1,5,0.2537871487201994
KKI2009_142,MR1,10,0.24745884306824717
KKI2009_142,MR1,50,0.2182653222867145
KKI2009_142,MR1,100,0.19811287978375705
KKI2009_142,MR1,150,0.18469748246728424
KKI2009_142,MR1,200,0.175548282272378
KKI2009_142,MR1,250,0.1686526393772048
KKI2009_142,MR1,300,0.1631058324272269
KKI2009_142,MR1,400,0.15515120347672398
KKI2009_142,MR1,500,0.14984780791191413
KKI2009_142,MR1,600,0.1459471933773438
KKI2009_142,MR1,700,0.14270702211511369
KKI2009_142,MR1,800,0.14005260215675627
KKI2009_142,MR1,900,0.13784855965483156
KKI2009_142,MR1,1000,0.1359146207445186
KKI2009_142,MR1,2000,0.12543371879051082
KKI2009_505,MR1,0,0.26399870734590347
KKI2009_505,MR1,1,0.2625998195544958
KKI2009_505,MR1,5,0.2583409797572152
KKI2009_505,MR1,10,0.25344364800087577
KKI2009_505,MR1,50,0.22553187307138609
KKI2009_505,MR1,100,0.20351451513396493
KKI2009_505,MR1,150,0.18885953950800694
KKI2009_505,MR1,200,0.17818623253307872
KKI2009_505,MR1,250,0.1701325701330465
KKI2009_505,MR1,300,0.163789176362732
KKI2009_505,MR1,400,0.15423916386051054
KKI2009_505,MR1,500,0.1475921467879466
KKI2009_505,MR1,600,0.14244734386563435
KKI2009_505,MR1,700,0.13827534158820284
KKI2009_505,MR1,800,0.13504175799910798
KKI2009_505,MR1,900,0.13244191579466089
KKI2009_505,MR1,1000,0.13015316373827876
KKI2009_505,MR1,2000,0.11847232247561439
